prediction,label,query,analysis,correct
1,False,current init bean name <> bean com manageone movdc movdcservice deprecated business project <> <> ,"The log message contains terms like 'deprecated' and 'business project', which suggest that there may be an issue with the system. Therefore, it is classified as an anomaly.",False
0,False,agency USERID ,The log message is a query for the agency with a specific USERID. There is no indication of any abnormal events or errors.,True
0,False,save center agency user domainId groupId projectId ,The log message is a query that includes a list of parameters. It does not indicate any abnormal events or errors.,True
1,True,enterpriseId is null ,"The log message indicates a null value for the enterpriseId, which can be considered as an abnormal event.",True
0,False,Already upgraded system user and group ,The log message does not describe any abnormal events. It simply states that the system user and group have already been upgraded.,True
0,False,Already upgrade ecs role iam id with global globalIamId ,The log message does not indicate any abnormal events. It states that the ecs role iam id has already been upgraded with the global globalIamId.,True
0,True,ResponseEntity return httpCode is requestEntity s type is GET requestEntity s url is requestEntity s header is please check ,The log message does not indicate any abnormal events. It appears to be a generic message providing information about the HTTP request and response.,False
1,True,x trace id x request id RouteID moproductservice not found completed todo record objId ,"The log message contains words like 'not found' and 'completed todo', indicating that there may be an abnormal event or error in the system.",True
0,False,Custom group role is already upgraded ,"The log message does not contain any content describing system abnormal events. Therefore, it is considered as a normal log message.",True
0,False,WebAppContext war file ,"The log message does not contain any content describing system abnormal events. Therefore, it can be considered as a normal log message.",True
0,False,start register gateway service info ,The log message does not indicate any abnormal events. It simply states the start of registering the gateway service information.,True
0,False,Init spring from files app ,"The log message does not contain any content describing system abnormal events. Therefore, it is considered normal.",True
1,True,deal_token_refresh_broadcast Failed to invalidate tokens error message is Failed to find the matched session id client server request POST refreshRequest assumerole HTTP host console mo type com ,The log message indicates an anomaly. It mentions a failure in invalidating tokens and a failed request to find a matched session ID.,True
0,False,WebAppContext getContextPath ,The log message is a query for the context path of a web application. It does not indicate any abnormal events or errors.,True
0,False,register upstream request content desc MOVDCService nodes type roundrobin reqType PUT url ,"The log message describes a query for registering an upstream request content. There is no indication of any abnormal events or errors. Therefore, the log message is considered normal.",True
0,False,Retry upgrade LoginModeUpgradeImpl succeed redisKey system bootup global upgrade login_mode lock ,"The log message does not contain any content describing abnormal events. Therefore, it is considered normal.",True
0,False,<> <> Rest service n com manageone motaskcenter motaskcenterservice service MOTaskCenterServiceHealth EnhancerBySpringCGLIB n com manageone motaskcenter motaskcenterservice service MOTaskCenterService EnhancerBySpringCGLIB n ,"The log message does not contain any content describing system abnormal events. Therefore, it is considered normal.",True
0,False,end register project assign alarm ,"The log message does not contain any content describing system abnormal events. Therefore, it can be considered as a normal log message.",True
0,False,action upgrade succeed ,The log message does not indicate any abnormal events. It simply states that an upgrade action was successful.,True
0,False,beginTime endTime granularity ,"The log message is a query that specifies a begin time, end time, and granularity. It does not indicate any abnormal events.",True
0,False,START upgrade custom group role ,"The log message is a query to start upgrading a custom group role. There is no indication of any abnormal events or errors. Therefore, it can be considered as a normal log message.",True
0,False,print url by appName MOTaskCenterService ,"The log message is a query for printing the URL by the application name 'MOTaskCenterService'. There is no indication of any abnormal events or errors in the log message. Therefore, it can be considered as a normal log message.",True
0,False,action bind quotas quotas ,"The log message does not contain any content describing system abnormal events. Therefore, it can be considered as a normal log message.",True
1,True,url detection error opsagent taskId retCode is empty ,The log message indicates an anomaly. It describes an error in detecting the URL with an empty retCode.,True
0,False,checkCreateUserAccessInfo limitAccess is false ,"The log message does not contain any content describing system abnormal events. Therefore, it is considered normal.",True
0,False,start register upstream desc MOVDCService <*> type roundrobin ,The log message is a query to start registering an upstream description for the MOVDCService using the round-robin type. There is no indication of any abnormal events in the log message.,True
0,False,MsgCallBack resp result message zh_cn <> en_us The current user <> <> <> <> <> <> <> has <> <> <> service_id <> X Language zh_cn ,The log message does not contain any content describing system abnormal events. It appears to be a normal message indicating the result of a message callback with a response in different languages.,True
0,False,current init bean name adapter bean com manageone sdk toolkit rucor SCRucorAdapterImpl ,"The log message does not contain any content describing system abnormal events. Therefore, it is considered normal.",True
0,False,current init bean name <> bean com bsp <> <> <> <*> ,"The log message does not contain any content describing system abnormal events. Therefore, it is considered normal.",True
0,False,free project is Already upg ,"The log message does not contain any content describing system abnormal events. Therefore, it can be considered as a normal log message.",True
0,False,Start init spring ,The log message does not contain any content describing abnormal events. It is a normal log message indicating the start of initializing the spring framework.,True
0,False,start report project assign alarm task ,"The log message does not contain any content describing system abnormal events. Therefore, it is considered normal.",True
0,False,<> action size to iam ,"The log message does not contain any content describing system abnormal events. Therefore, it can be considered as a normal log message.",True
0,False,roa service cost ,"The log message does not contain any content describing system abnormal events. Therefore, it is considered normal.",True
0,False,start register MOSBIGatewayService ,The log message does not indicate any abnormal events. It is a normal start of the MOSBIGatewayService registration process.,True
0,False,create audit log task end ,The log message does not indicate any abnormal events. It simply states the end of creating an audit log task.,True
0,True,user testUserAgent Pao not oc user no go to oc Auth ,"The log message does not contain any content describing system abnormal events. Therefore, it is considered normal.",False
0,False,register service success res is node value update_time type roundrobin desc MOVDCService hash_on vars pass_host pass scheme <> nodes id create_time key <> action <*> n ,The log message does not contain any content describing abnormal events. It appears to be a normal registration of a service.,True
0,False,end report project assign alarm task ,"The log message does not contain any content describing system abnormal events. Therefore, it is considered normal.",True
0,False,initSystemPolicy end ,"The log message does not contain any content describing abnormal events. Therefore, it can be considered as a normal log message.",True
1,True,query product detail failed com clouds taskmgr extention openstack client HTTPServerException exceptionId mopro_ exceptionType ROA_EXFRAME_EXCEPTION descArgs Failed to call the external service reasonArgs Failed to call the external service detailArgs Operation failed because the external service is abnormal adviceArgs Contact technical support ,The log message indicates a failure in querying the product detail. It mentions that there was an exception (HTTPServerException) with the ID 'mopro_' and the type 'ROA_EXFRAME_EXCEPTION'. The log also states that the operation failed because the external service is abnormal and advises to contact technical support. These details suggest that there was an abnormal event or error in the system.,True
0,False,End to init rucor service ,"The log message does not contain any content describing system abnormal events. Therefore, it is considered normal.",True
1,True,Project services is empty projectId null timerTask true ,"The log message indicates an anomaly. It mentions that the project services is empty and the projectId is null, which suggests a failure or abnormal event in the system.",True
0,False,Manager privacy is already upgraded ,The log message does not indicate any abnormal events. It simply states that the manager privacy has already been upgraded.,True
0,False,start refreshvdcinfo ,"The log message does not contain any content describing system abnormal events. Therefore, it is considered normal.",True
0,False,<> init bean name com manageone <> <> <> <> bean com manageone <> <> <> <*> ,"The log message does not contain any content describing abnormal events. Therefore, it is considered normal.",True
0,False,agencyId agencyName aN_ <> <> <> <> ,"The log message does not contain any content describing system abnormal events. It appears to be a query related to an agency, but there is not enough information to determine if it is an anomaly or not.",True
0,False,zenith ssl enabled ,The log message does not indicate any abnormal events. It simply states that the SSL feature is enabled for the Zenith system.,True
1,True,bucket origin name is null ,The log message indicates a system abnormal event as it mentions that the bucket origin name is null. This could potentially cause issues or errors in the system.,True
0,False,<> size to iam ,"The log message does not contain any content describing system abnormal events. Therefore, it is considered normal.",True
0,False,success register alarm info ,"The log message indicates a successful registration of alarm information. There is no mention of any abnormal events or errors. Therefore, it can be considered as a normal log message.",True
0,False,Create vdc V get Lock vdc_wqqwwddqwdwdqwqdwqdqdwd_ <> ,"The log message does not contain any content describing abnormal events. Therefore, it is considered normal.",True
1,True,Init spring application context failed system is started in abnormal state org springframework beans factory BeanDefinitionStoreException Unexpected exception parsing XML document from URL file nested exception is java lang IllegalStateException Unable to load schema mappings from location META INF ,The log message indicates that there was an unexpected exception while parsing an XML document. This suggests that the system encountered an abnormal state during the initialization of the spring application context.,True
0,False,collect trigger start triggerTime ,"The log message does not contain any content describing system abnormal events. Therefore, it is considered normal.",True
0,False,Default domainId project mo_bss_project existed continue,"The log message does not contain any content describing system abnormal events. Therefore, it is considered normal.",True
1,True,Modify dump job but not ok ,"The log message indicates that there was an issue with modifying a dump job. The phrase 'not ok' suggests that the modification was unsuccessful, which can be considered as an abnormal event.",True
0,True,read remote config successful agent id config_servers ,"The log message indicates a successful read of the remote config for the agent with the ID 'config_servers'. There is no indication of any abnormal events or errors. Therefore, the log message is considered normal.",False
0,False,VM data before persistence ,The log message does not indicate any abnormal events. It simply states that the VM data is being processed before persistence.,True
1,True,GET https mo type com mo lvs cn region mo type com error builder error invalid port number ,"The log message contains words like 'error' and 'invalid port number', indicating a system abnormal event. Therefore, it is classified as an anomaly.",True
0,False,KafkaUtil send Topic USER_CHANGE_NOTIFY Status Content domain_id resource_tenant_id roles name <> <> description id vdc_id enabled true ,"The log message does not contain any content describing system abnormal events. Therefore, it is considered normal.",True
0,False,execute create init audit log task end ,"The log message does not contain any content describing system abnormal events. Therefore, it is considered normal.",True
0,False,Already upgrade group id mapping with global iamID ,"The log message does not contain any content describing system abnormal events. Therefore, it can be considered as a normal log message.",True
0,False,resIdList size is ,The log message does not contain any content describing abnormal events. It is a normal log message indicating the size of the resIdList.,True
0,False,Already upgrade agency id mapping with global iamID ,The log message does not describe any abnormal events. It indicates that the agency id mapping has already been upgraded with a global iamID.,True
1,True,response code is url msg exceptionId <> <> <> <> exceptionType ROA_EXFRAME_EXCEPTION descArgs null reasonArgs <> detailArgs null adviceArgs null ,"The log message contains content describing a system abnormal event, such as an exception and null values. Therefore, it is classified as an anomaly.",True
0,False,current init bean name transactionManager bean org springframework jdbc datasource DataSourceTransactionManager ,The log message does not indicate any abnormal events. It is simply stating the current init bean name as 'transactionManager' for the 'DataSourceTransactionManager' class in the 'org.springframework.jdbc.datasource' package.,True
0,False,start register gateway ir ,The log message does not contain any content describing system abnormal events. It is a normal log message indicating the start of registering a gateway.,True
0,False,initSystemPolicy start ,"The log message does not contain any content describing system abnormal events. It simply indicates the start of initializing the system policy. Therefore, it is considered normal.",True
1,True,resetPassword request failed oc user id ,The log message indicates a failure in the resetPassword request for the oc user id.,True
0,False,releaseLock lockKeyuser ,"The log message does not contain any content describing system abnormal events. Therefore, it is considered normal.",True
0,False,pre app role success ,"The log message does not contain any content describing system abnormal events. Therefore, it can be considered as a normal log message.",True
1,True,Cant not load file fileConfiguration properties ,"The log message indicates an anomaly. The content 'Cant not load file fileConfiguration properties' suggests that there is an issue with loading the file fileConfiguration properties. This could be due to a missing or corrupted file, which is an abnormal event.",True
0,False,policyEnabled is false ,"The log message does not describe any abnormal events. It simply states that the policyEnabled flag is set to false. Therefore, it can be considered as a normal log message.",True
0,False,Start init mapper file ,The log message does not indicate any abnormal events. It simply states that the initialization of the mapper file has started.,True
1,True,empty global quota or notify task to execute ,The log message indicates an anomaly. The content 'empty global quota or notify task to execute' suggests that there is an issue with the global quota or the execution of a notify task. This implies a potential abnormal event in the system.,True
0,False,Create user task status is <*> release lock ,"The log message does not contain any content describing system abnormal events. It simply states that the user task status is releasing the lock. Therefore, it is considered normal.",True
0,False,refresh test rate limit succeed at times ,The log message does not indicate any abnormal events. It simply states that the refresh of the test rate limit succeeded.,True
0,False,agency user projectId groupId domainId ,"The log message does not contain any content describing system abnormal events. It appears to be a query for agency user details related to a project, group, and domain.",True
0,False,Subsequent logs will printed to the root log of each microservice Please see the logs of each microservice ,The log message does not contain any content describing system abnormal events. It is a general message indicating that subsequent logs will be printed to the root log of each microservice.,True
0,False,clear cache machine by identity success ,"The log message does not contain any content describing system abnormal events. It simply states that the cache machine was cleared successfully. Therefore, it can be considered as a normal log message.",True
0,False,isUserExisted bss_admin true,"The log message does not indicate any abnormal events. It is a query to check if a user with the username 'bss_admin' exists. Therefore, it is considered normal.",True
1,True,user testUserAgent not oc user no go to oc Auth ,"The log message contains the terms 'user', 'testUserAgent', 'oc', 'Auth', which suggest that there may be an issue with user authentication or access to the 'oc' system. This indicates an anomaly.",True
1,True,user name is alreay exist or illegal ,"The log message indicates that there is an issue with the user name, either it already exists or it is illegal. This suggests an abnormal event in the system.",True
1,True,ecsActionExist false del action size ,"The log message contains the words 'false', 'del', and 'size', which indicate abnormal events such as deletion and size issues. Therefore, it is classified as an anomaly.",True
0,False,clear cache machine by identity ,"The log message describes a query to clear the cache machine by identity. There is no indication of any abnormal events or errors. Therefore, the log message is considered normal.",True
0,False,current init bean name org springframework <> interceptor <> bean org springframework <> interceptor <> ,"The log message does not contain any content describing system abnormal events. Therefore, it can be considered as a normal log message.",True
1,True,no data to insert ,"The log message indicates that there is no data to insert, which can be considered as an abnormal event.",True
1,True,rest config file isn t exist or not file ,"The log message indicates that the configuration file does not exist or is not a file, which suggests a system abnormality.",True
0,False,BootHandle all thread init start ,"The log message does not contain any content describing system abnormal events. Therefore, it is considered normal.",True
0,False,agencyId agencyName <> <> vdcDomainId ,"The log message does not contain any content describing system abnormal events. Therefore, it can be considered as a normal log message.",True
0,False,Start sync role ,"The log message does not contain any content describing system abnormal events. Therefore, it can be considered as a normal log message.",True
0,False,End of croning project quotas ,"The log message does not contain any content describing system abnormal events. Therefore, it is considered normal.",True
0,False,start execute parse open_api xml ,The log message does not indicate any abnormal events. It simply states that the execution of parsing an open_api XML has started.,True
0,False,Preset vdc mo_bss_admin existed continue ,"The log message does not contain any content describing system abnormal events. Therefore, it is considered normal.",True
1,True,Set project quota tasks is empty projectId null ,"The log message indicates a system abnormal event. It mentions that the project quota tasks are empty and the projectId is null, which suggests a failure or error in the system.",True
0,False,The machine machine user has been registered ,The log message does not indicate any abnormal events. It simply states that a machine user has been registered.,True
1,True,cannot get topicInfo for consumer by topic <> <> <> <> ,The log message indicates that there is an issue with getting topic information for a consumer. This suggests a failure or abnormal event in the system.,True
0,False,alarm http return end url status ,"The log message does not contain any content describing system abnormal events. Therefore, it is considered as a normal log message.",True
0,False,appBaseHome is ,"The log message does not contain any content describing system abnormal events. Therefore, it is considered normal.",True
0,False,Deal free project start ,"The log message does not contain any content describing system abnormal events. Therefore, it is considered normal.",True
0,False,MODELSTATUS IS READY ,"The log message does not contain any content describing system abnormal events. Therefore, it is considered normal.",True
0,False,the policy moscapp already exists don't need to register,The log message indicates that the policy 'moscapp' already exists and does not need to be registered. This is a normal event and does not indicate any anomalies.,True
0,False,end refreshvdcinfo ,"The log message does not contain any content describing system abnormal events. Therefore, it can be considered as a normal log message.",True
0,False,logpath processname movdcservice ,"The log message does not contain any content describing abnormal events. Therefore, it can be considered as a normal log message.",True
0,False,job successfully MOVDCService <> ,"The log message indicates that a job was successfully executed by the MOVDCService. There is no indication of any abnormal events or errors. Therefore, the log message is considered normal.",True
0,False,Create vdc V get Lock testDomain ,"The log message does not contain any content describing system abnormal events. Therefore, it is considered normal.",True
1,True,parse node operation error com bsp remoteservice exception ServiceException exception id SMS SMMgmtService Node_Self_Operation Count Max Error ,"The log message contains content describing a system abnormal event, specifically an error in the parse node operation. Therefore, it is classified as an anomaly.",True
0,False,START upgrade manager privacy ,"The log message does not contain any content describing system abnormal events. Therefore, it is considered normal.",True
0,False,Start upgrade baseline of user at private scene ,The log message does not contain any content describing system abnormal events. It appears to be a normal query to start upgrading the baseline of a user at a private scene.,True
0,False,BootHandle initAndRegisterMachineAccount end ,The log message does not indicate any abnormal events. It is a normal message indicating the end of initializing and registering a machine account during boot.,True
